1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
41	88509.141696	7.501543	0.000070	816.689913	3.5
42	104277.690924	8.489899	0.000068	1140.150629	2.9
43	100463.393345	7.637469	0.000070	697.613281	2.8
44	95692.112899	8.627773	0.000067	1269.497234	2.6
45	92967.831575	9.204026	0.000066	818.134773	2.7
46	87946.630219	8.281659	0.000068	1102.337164	2.8
47	94793.131933	7.472596	0.000070	352.812766	2.6
48	96698.796512	7.112704	0.000071	1381.814995	4.4
49	88045.098581	6.192706	0.000073	870.484697	3.2
50	92151.215134	7.192696	0.000071	1374.207483	2.8
51	96372.596367	6.270326	0.000073	1210.776470	2.7
52	90720.171372	5.348789	0.000076	1425.317428	2.8
53	93662.537521	6.348368	0.000073	1048.689923	2.9
54	91629.558499	5.426011	0.000075	1489.978396	2.6
55	88045.936974	6.425637	0.000073	737.369645	3.1
56	90483.140261	7.425637	0.000070	1879.739367	2.6
57	91314.643050	6.503267	0.000072	1485.627254	3.5
58	90838.855032	5.580896	0.000075	902.216458	4.1
59	98574.962885	6.580779	0.000072	1067.924027	2.8
60	99262.585407	6.538791	0.000072	1321.608923	3.2
61	94114.655487	5.826798	0.000074	1478.941368	3.1
62	94966.150267	6.826798	0.000072	919.660378	3.1
63	100631.823880	6.102371	0.000073	1361.313927	2.7
64	91104.336719	6.991061	0.000071	1218.785921	3.1
65	89062.558438	7.991061	0.000069	1240.869975	2.6
66	95574.881484	7.409456	0.000070	1959.359824	2.6
67	95202.195737	6.487085	0.000072	1194.491452	2.7
68	91989.197369	7.487085	0.000070	2372.529101	3.4
69	94064.778419	8.486126	0.000068	1130.950192	2.9
70	94170.836006	9.486126	0.000065	515.016739	3.0
71	96387.281154	10.428705	0.000063	749.543926	3.2
72	93803.563774	11.354129	0.000062	801.437010	2.7
73	91607.523345	10.431914	0.000063	589.738518	3.1
74	103731.043596	9.513125	0.000065	733.214470	2.7
75	87753.956463	9.810914	0.000065	1577.093387	2.9
76	95672.142191	8.888547	0.000067	1503.886371	2.7
77	95437.121476	9.888547	0.000064	990.154753	2.6
78	86825.434191	9.476669	0.000065	723.411336	4.4
79	93273.253836	10.099059	0.000064	2092.381266	3.0
80	93031.944026	11.098508	0.000062	812.647551	2.7
81	91808.497546	11.986455	0.000060	715.620428	3.1
82	91310.334316	11.075294	0.000062	1477.457992	3.1
83	93297.971702	12.045129	0.000060	1107.841668	3.2
84	92528.012156	11.122758	0.000062	686.857467	3.3
85	101172.029992	12.046093	0.000060	708.617529	3.1
86	100640.759121	13.039800	0.000058	1814.586527	3.1
87	94957.953489	12.117474	0.000060	1451.603040	2.6
88	86847.708353	13.117474	0.000058	1134.482573	3.0
89	95041.274047	14.117474	0.000057	1096.630071	3.1
90	90287.963289	13.195213	0.000058	827.234941	3.3
91	91110.830617	12.353292	0.000060	1400.669210	2.7
92	94148.768108	13.352944	0.000058	908.420840	2.6
